logging_code_labels
"<line3>        LOG.debug(""Initializing XRay tracer"");"
"<line5>      LOGGER.warn(""Unable to transform geometry"", e);"
"<line1>    log.debug(""client [container: {}] disconnected"", con.getRemoteContainer());"
"<line2>    log.info(""get ["" + keys + ""]"");"
"<line6>        LOGGER.debug(""Configuration {} detected and added"", location);<line11>        LOGGER.warn(""Configuration {} not readable; ignored"", location);"
"<line9>        log.warn(""Missing />"");"
"<line2>    LOG.info(""Memory Difference is: "" + differenceMemoryCache);"
"<line16>        LOG.info(""Received from Zeppelin LoginRestApi : "" + content);<line18>        LOG.error(""Failed Zeppelin login {}, status code {}"", endpoint, code);<line21>      LOG.error(""Cannot login into Zeppelin"", e);"
"<line4>        log.trace(""seenModules.size: "" + seenModules.size());<line5>      log.trace(""name: "" + name);<line6>        log.trace(""url: "" + url);<line16>      log.debug(""Resource is not visible"");"
"<line9>      log.info(""Second holdcc() threw IllegalStateException as expected."");"
"<line7>            log.debug(""Exception in closing "" + c, e);"
<line26>      log.error(systemException, systemException);
"<line13>      logger.warn("" Exception while processing: ""+ belongsToClass+ "" Line: ""+ typeType.start.getLine()+ "" ""+ e.getMessage());"
<line1>    logger.info(msg);
"<line5>      logger.error(""Failed to create ssl tofu rest template"", e);"
"<line13>      LOG.debug(""MIME types loaded: {}"", mimeTypesMap);<line17>      LOG.error(""Error reading file MIMETypes from resources"", e);"
"<line19>      logger.debug(""Since creation of parent template: ""+ templateInfo.getId()+ "" failed, delete Datadisk templates that were created as part of parent""+ "" template download"");"
<line21>      log.error(systemException, systemException);
"<line3>      LOGGER.info(""===== Executing workflow "" + config.inputWorkflow + "" ====="");<line5>        LOGGER.info(""========= Workflow did not execute sucessfully ============"");<line10>        LOGGER.info(""============= Workflow executed sucessfully ==============="");"
"<line35>      logger.trace(""Optimized query model:\n{}"", tupleExpr);"
"<line2>    log.trace(""#{} queue {} completed"", session.uniqueId(), var);"
"<line10>    log.info(""Finished request: ""+ tm+ ""ms  for ""+ request.getAbsolutePath()+ "" method=""+ request.getMethod());"
"<line7>    LOGGER.info(""doStopSelfTest() for device: {}."", deviceRequest.getDeviceIdentification());"
"<line3>      LOGGER.debug(format(""Generating schema for udt of type %s"",udtClassProperty.udtClass.getCanonicalName()));<line12>      ACHILLES_DMLlogger.debug(udtSchema + ""\n"");"
<line12>        log.debug(sb.toString());
"<line3>      LOG.info(""no message log replay snapshot, return empty state."");"
<line8>          log.error(e.getMessage(), e);
"<line5>    LOGGER.debug(""MessageLength: "" + message.getMessageLength().getValue());"
"<line1>    logger.info(""~~~~ Initial State ~~~~~"");<line6>    logger.info(_currentMapping.toString());<line8>      logger.info(""~~~~ Iteration "" + i + "" ~~~~~"");<line12>        logger.info(mapResult.toString());<line12>        logger.info(listResult.toString());"
"<line2>    logger.debug(""Find all assets for repositoryId: {}, path: {}, deleted: {}, virtual: {}, branchId: {}"",repositoryId,path,deleted,virtual,branchId);"
"<line16>          log.debug(remoteSessionObject.toString());<line17>          log.debug(""jsonString {}"", xmlString);"
"<line5>        log.info(""Before acquiring and wait lock '{}'"", lock);<line7>        log.info(""Lock-wait acquired to object '{}'"", lock);"
<line16>      LOGGER.error(e);
"<line6>      log.info(""exceotuib reseting stats"", e);"
"<line2>    LOGGER.debug(""Extensions: "" + ArrayConverter.bytesToHexString(pair.getExtensions().getValue()));"
"<line24>      logger.error(""Exception occurred in SDNCDeactivateTasks deactivateVfModule"", ex);"
"<line2>      LOG.debug(""==> reorderEvaluators()"");<line13>      LOG.debug(""<== reorderEvaluators()"");"
"<line13>      log.error(""Problem de-serializing object."", e);"
"<line1>    LOG.debug(""thread {}: connection stop"", Thread.currentThread().getId());"
"<line2>    logger.info(""Testing DB2 schema creation"");"
<line2>    logger.debug(Messages.STARTING_APPLICATION_0, applicationName);
"<line3>    LOG.debug(""Calling OpenstackNeutronNetworkResource.getAllShouldSucceed()"");"
"<line12>        LOGGER.info(""Encountered a subsequent failure. Giving up."");<line14>        LOGGER.info(""User requested restart."");<line19>          LOGGER.info(""Unexpected exit. Restarting..."");<line20>          LOGGER.info(""Exiting with status "" + code);"
"<line8>      logger.error(""Decode RQNT Response failed"", e);"
"<line2>    LOGGER.info(""Kinited user: "" + user + "" keytab: "" + KEYTAB_LOCATION + ""/"" + user + "".keytab"");"
"<line2>    logger.info(name.getMethodName() + "" - callback - error"");"
"<line2>    logger.debug(""Jumping from old track position {} ms to new position {} ms"",currentPosition,currentPosition + positionOffsetInMs);"
"<line15>          LOGGER.error("""", e);"
"<line11>      log.error(""Error while trying to load registry config for C-App : ""+ parentAppName+ "" artifact : ""+ artifactName,e);"
"<line5>      logger.debug(""Ping command port, "" + privateIp + "":"" + cmdPort);<line9>        logger.error(""Can not ping System vm "" + vmName + ""due to:"" + result);<line12>      logger.error(""Can not ping System vm "" + vmName + ""due to exception"");<line15>      logger.debug(""Ping command port succeeded for vm "" + vmName);<line18>        logger.debug(""Execute network usage setup command on "" + vmName);"
"<line8>      log.warn(""Inknown object invoked in surf filter ui"");"
"<line4>      LOG.error(""closing piped input stream failed"", e);<line8>      LOG.error(""cancelling write task failed"", e);"
"<line25>              LOG.warn(""Too busy to snap, skipping"");<line31>                    LOG.warn(""Unexpected exception"", e);<line58>    LOG.info(""SyncRequestProcessor exited!"");"
"<line3>      LOG.error(I18n.err(I18n.ERR_01308_ZERO_LENGTH_TLV));<line8>      LOG.debug(""Authenticator created"");"
